lng,lat
15.96,46.64
14.79,46.29
16.21,46.81
14.67,45.94
16.26,46.83
15.12,46.13
14.01,45.57
14,45.99
14.52,45.93
14.29,45.57
14.81,45.92
13.66,45.51
14.07,46.45
15.97,46.49
14.68,46.26
13.65,46.08
15.75,46.4
13.56,46.25
16.39,46.68
14.9,45.62
13.75,45.81
13.84,45.51
15.55,46.07
14.33,46.26
13.85,46.46
15.46,45.96
15.6,46.65
16.09,46.84
15.26,46.13
15.82,46.56
16.44,46.56
14.92,46.06
14.56,46.05
14.84,46.37
16.16,46.52
14.19,45.93
14.48,45.67
14.64,45.66
14.73,46.36
14.77,46.18
15.74,46.32
15.63,46.56
14.4,46.13
14.56,46.16
15.3,45.66
14.86,46.52
13.64,45.85
15.22,46.45
14.76,46.13
16.27,46.71
14.96,46.36
16.15,46.65
15.14,46.63
14.3,46.29
14.91,46.28
13.74,45.98
15.19,45.78
16.27,46.59
16.15,46.44
14.73,45.55
15.71,46.62
13.63,45.49
14.24,45.68
15.59,46.14
15.36,46.6
14.17,45.79
14.46,46.32
15.87,46.44
16.13,46.74
15.65,46.45
15.14,46.06
16.04,46.62
15.24,46.6
14.2,46.34
14.96,46.55
14.72,45.73
16.03,46.8
15.63,46.25
15.74,46.24
15.49,46.52
15.14,45.65
15.27,46.01
13.88,45.74
15.08,46.49
15.53,46.41
15.46,46.32
15.76,46.46
16.02,46.56
14.43,46.24
15.72,46.68
15.33,45.83
15.42,46.19
15.3,45.92
14.28,46.16
14.57,45.97
15.52,46.21
15.03,46.34
15,46.41
15.32,46.2
13.81,46.17
15.05,46.14
14.97,45.91
14.33,46.39
16.31,46.62
15.13,46.37
14.59,45.84
15.89,46.35
13.98,45.82
15.29,46.4
14.49,46.17
15.31,46.32
14.29,45.96
15.16,46.57
14.95,46.13
16.05,46.36
15.37,46.4
14.11,46.22
14.12,46.05
15.89,46.62
15.65,46.06
14.51,45.78
15.03,46.28
16.02,46.74
15.94,46.56
15.4,46.13
15.22,46.36
16.35,46.65
15.03,45.72
16.09,46.79
15.83,46.42
15.63,46.49
16.32,46.83
14.29,46.02
14.48,46.39
14.54,46.2
14.86,45.5
16.12,46.56
15.38,46.53
15.95,46.39
15.71,46.49
15.08,45.85
15.45,46.39
15.87,46.32
15.08,46.3
15.09,46.22
14.89,46.55
16.27,46.52
15.26,46.52
15.48,46.59
14.62,45.76
14.66,46.4
15.84,46.65
15.95,46.52
13.65,45.92
15.01,46.22
15.89,46.52
14.55,46.13
16.35,46.58
16.16,46.58
14.94,46.24
15.17,46.26
15.8,46.28
14.17,46.41
14.93,45.81
14.85,46.02
15.87,46.69
16,46.34
15.42,45.84
15.67,46.32
15.16,45.92
15.6,46.31
13.68,45.89
16.26,46.4
15.09,45.78
15.89,46.57
16.07,46.48
15.24,45.88
13.98,46.39
14.37,46.01
14.9,46.33
15.79,46.61
15.09,45.98
15.06,45.95
13.74,45.58
19.48,48.71
-11.79,8.56
12.46,43.94
-14.47,14.36
45.87,6.06
-55.91,4.14
30.17,7.37
6.71,0.43
-88.87,13.74
38.51,35.03
31.5,-26.57
18.67,15.38
0.98,8.53
101.01,15.1
101.01,15.1
100.62,13.77
100.71,13.6
100.39,13.93
100.68,14.07
100.53,14.34
100.36,14.62
100.88,15.09
100.35,14.92
100.02,15.13
101,14.62
101.2,13.19
101.42,12.85
102.13,12.86
102.52,12.31
101.45,13.6
101.69,14.04
101.18,14.22
102.35,13.76
102.12,14.96
102.96,14.82
103.66,14.89
104.38,14.85
105.11,15.19
104.34,15.89
101.8,16.01
104.74,15.9
103.71,18.15
102.3,17.18
102.59,16.4
102.86,17.43
101.63,17.41
102.83,17.94
103.18,15.99
103.83,15.92
103.63,16.63
103.82,17.39
104.43,17.38
104.52,16.56
98.73,18.79
98.96,18.13
99.51,18.34
100.52,17.75
100.06,18.19
100.83,18.85
100.18,19.23
99.87,19.85
98.03,18.75
100.14,15.69
99.47,15.34
99.52,16.34
98.81,16.66
99.7,17.25
100.54,16.98
100.36,16.24
101.15,16.27
99.58,13.53
99.05,14.59
99.9,14.61
100.11,13.92
100.22,13.57
99.96,13.39
99.62,12.94
99.63,11.93
99.78,8.37
99.01,8.14
98.42,8.68
98.35,7.96
99.09,9.06
98.7,9.97
99.06,10.35
100.54,6.94
99.93,6.82
99.61,7.52
100.07,7.51
101.35,6.73
101.23,6.19
101.72,6.17
71,38.53
125.85,-8.82
9.58,34.11
35.17,39.06
-61.26,10.47
120.96,23.75
34.98,-6.44
31.27,49.17
28.69,48.92
24.87,51.19
39.02,48.99
34.84,48.3
37.67,48.05
28.48,50.64
23.28,48.4
35.7,47.27
24.62,48.7
30.55,50.45
32.08,48.47
23.92,49.72
31.78,47.45
29.86,46.73
33.78,49.73
26.39,51.04
34.12,51.11
25.65,49.4
36.5,49.61
33.58,46.69
26.93,49.51
31.35,49.26
32,51.36
25.98,48.27
32.34,1.51
-112.87,45.67
-152.23,64.24
-161.98,55.37
-106.58,52.8
-149.11,61.15
-159.82,60.91
-156.7,58.74
-150.01,63.67
-158.24,59.8
-146.57,64.81
-135.5,59.12
-135.64,58.29
-134.17,58.45
-151.57,60.27
-130.93,55.59
-153.78,57.68
-163.38,62.16
-156.19,58.65
-149.57,62.32
-164.03,64.91
-153.48,69.31
-159.72,67.05
-132.93,57.12
-133.02,55.8
-135.32,57.24
-135.34,59.56
-143.21,63.88
-144.47,61.56
-132.02,56.33
-140.36,59.89
-151.39,65.51
-86.83,32.79
-86.64,32.53
-87.72,30.73
-85.39,31.87
-87.13,33
-86.57,33.98
-85.72,32.1
-86.68,31.75
-85.83,33.77
-85.39,32.91
-85.6,34.18
-86.72,32.85
-88.26,32.02
-87.83,31.68
-85.86,33.27
-85.52,33.67
-85.99,31.4
-87.81,34.7
-86.99,31.43
-86.25,32.94
-86.45,31.25
-86.31,31.73
-86.87,34.13
-85.61,31.43
-87.11,32.33
-85.8,34.46
-86.15,32.6
-87.16,31.13
-86.03,34.05
-87.74,33.72
-87.84,34.44
-85.84,31.09
-87.95,32.85
-87.63,32.76
-85.24,31.51
-85.3,31.15
-86,34.78
-86.9,33.55
-88.1,33.78
-87.65,34.9
-87.31,34.52
-85.36,32.6
-86.98,34.81
-86.65,32.15
-85.69,32.39
-86.55,34.76
-87.79,32.25
-87.89,34.14
-86.31,34.37
-88.21,30.79
-87.37,31.57
-86.21,32.22
-86.85,34.45
-87.29,32.64
-88.09,33.28
-85.94,31.8
-85.46,33.29
-85.18,32.29
-86.31,33.72
-86.66,33.26
-88.2,32.59
-86.17,33.38
-85.8,32.86
-87.53,33.29
-87.3,33.8
-88.21,31.41
-87.31,31.99
-87.37,34.15
-92.44,34.9
-92.44,34.9
-91.37,34.29
-91.77,33.19
-92.34,36.29
-94.26,36.34
-93.09,36.31
-92.16,33.47
-92.5,33.56
-93.54,36.34
-91.29,33.27
-93.18,34.05
-90.42,36.37
-92.03,35.54
-92.19,33.9
-93.23,33.21
-92.7,35.26
-90.63,35.83
-94.24,35.59
-90.31,35.21
-90.77,35.3
-92.65,33.97
-91.25,33.83
-91.72,33.59
-92.33,35.15
-93.89,35.51
-91.82,36.38
-93.15,34.58
-92.42,34.29
-90.56,36.12
-93.67,33.74
-92.95,34.32
-93.99,34.09
-91.57,35.74
-91.91,36.09
-91.21,35.6
-91.93,34.27
-93.46,35.57
-93.61,33.24
-91.11,36.04
-90.78,34.78
-91.73,33.96
-94.23,33.7
-93.72,35.22
-91.89,34.75
-93.72,36.01
-92.68,36.27
-93.89,33.31
-90.05,35.76
-91.2,34.68
-93.66,34.54
-93.31,33.66
-93.22,35.92
-92.88,33.59
-92.93,34.95
-90.85,34.43
-93.66,34.16
-90.66,35.57
-94.23,34.49
-93.03,35.45
-91.55,34.83
-92.31,34.77
-91.03,36.34
-90.75,35.02
-92.68,34.65
-94.06,34.86
-92.7,35.91
-94.27,35.2
-94.24,34
-91.48,36.16
-92.16,35.86
-92.6,33.17
